/Users/rishimane/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
============================================================
LLM PoC Experiment — qwen2.5:3b
============================================================
[PDF] Extracted 193 pages from AR_26628_OFSS_2024_2025_A_27062025192147.pdf
[Classify] balance_sheet: pages [61, 129]
[Classify] income_statement: pages [62, 96, 130, 162]
[Classify] cash_flow: pages [117, 177]

[LLM] Calling model for balance_sheet (6000 chars) ...
  → 7 metrics extracted in 44.1s

[LLM] Calling model for income_statement (6000 chars) ...
  → 7 metrics extracted in 39.3s

[LLM] Calling model for cash_flow (6000 chars) ...
  → 9 metrics extracted in 71.7s

============================================================
RESULTS SUMMARY
============================================================
Coverage     : 9/17 (52.9%)
Total metrics: 23
Confidence   : {'high': 19, 'medium': 4, 'low': 0}
Total latency: 155.12s
Avg/call     : 51.71s
Missing      : ['current_assets', 'current_liabilities', 'long_term_debt', 'short_term_debt', 'operating_cash_flow', 'investing_cash_flow', 'financing_cash_flow', 'capex']

Full results saved → extraction_outputs/llm_poc_results.json

EXTRACTED METRICS:
  Metric                    Year   Value           Conf     Section
  ----------------------------------------------------------------------
  cash_and_equivalents      2025   33,547          high     consolidated
  cash_and_equivalents      2025   12,142          high     consolidated
  gross_profit              2025   null            medium   consolidated
  interest_expense          2024   -281            high     consolidated
  interest_expense          2025   -5              high     consolidated
  net_profit                2025   23,796          high     consolidated
  operating_profit          2025   null            medium   consolidated
  revenue                   2025   17              high     consolidated
  total_assets              2024   99,357          high     consolidated
  total_assets              2025   101,350         high     consolidated
  total_assets              2025   null            medium   consolidated
  total_assets              2025   7,879           high     consolidated
  total_equity              2024   83,588          high     consolidated
  total_equity              2024   1,527           high     consolidated
  total_equity              2025   83,624          high     consolidated
  total_equity              2025   86,863,101      high     consolidated
  total_equity              2025   1,527           high     consolidated
  total_liabilities         2024   7,971           high     consolidated
  total_liabilities         2024   6,363           high     consolidated
  total_liabilities         2025   101,350         high     consolidated
  total_liabilities         2025   7,971           high     consolidated
  total_liabilities         2025   null            medium   consolidated
  total_liabilities         2025   6,363           high     consolidated
