/Users/rishimane/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
============================================================
LLM PoC Experiment — qwen2.5:3b
============================================================
[PDF] Extracted 193 pages from AR_26628_OFSS_2024_2025_A_27062025192147.pdf
[Classify] balance_sheet: pages [61, 129]
[Classify] income_statement: pages [62, 96, 130, 162]
[Classify] cash_flow: pages [117, 177]

[LLM] Calling model for balance_sheet (5067 chars, pages [61, 129]) ...
  → 6 metrics extracted in 35.2s

[LLM] Calling model for income_statement (6000 chars, pages [62, 96, 130, 162]) ...
  → 12 metrics extracted in 81.7s
[Context] cash_flow: added continuation page 118

[LLM] Calling model for cash_flow (6000 chars, pages [117, 118, 177]) ...
  → 7 metrics extracted in 47.7s

============================================================
RESULTS SUMMARY
============================================================
Coverage     : 7/17 (41.2%)
Total metrics: 25
Confidence   : {'high': 24, 'medium': 1, 'low': 0}
Total latency: 164.61s
Avg/call     : 54.87s
Missing      : ['operating_profit', 'interest_expense', 'current_assets', 'current_liabilities', 'long_term_debt', 'short_term_debt', 'operating_cash_flow', 'investing_cash_flow', 'financing_cash_flow', 'capex']

Full results saved → extraction_outputs/llm_poc_results.json

EXTRACTED METRICS:
  Metric                    Year   Value           Conf     Section
  ----------------------------------------------------------------------
  cash_and_equivalents      2024   34,833          high     consolidated
  cash_and_equivalents      2025   12,142          high     consolidated
  gross_profit              2024   26,361          high     consolidated
  gross_profit              2024   26,361          high     standalone
  gross_profit              2025   43,101          high     consolidated
  gross_profit              2025   43,101          high     standalone
  net_profit                2024   20,279          high     consolidated
  net_profit                2024   20,279          high     standalone
  net_profit                2024   43,101          high     consolidated
  net_profit                2025   33,507          high     consolidated
  net_profit                2025   33,507          high     standalone
  net_profit                2025   33,109          high     consolidated
  revenue                   2024   50,991          high     consolidated
  revenue                   2024   50,991          high     standalone
  revenue                   2025   68,201          high     consolidated
  revenue                   2025   68,201          high     standalone
  total_assets                     null            medium   unknown
  total_assets              2025   101,350         high     consolidated
  total_assets              2025   83,280          high     standalone
  total_equity              2025   83,624          high     consolidated
  total_equity              2025   75,620          high     standalone
  total_liabilities         2024   -20,806         high     consolidated
  total_liabilities         2025   101,350         high     consolidated
  total_liabilities         2025   83,280          high     standalone
  total_liabilities         2025   -20,961         high     consolidated
